MRT,Latitude,Longitude,Road_name,Building,Address,Postal
Pasir Panjang MRT Station,1.276213522,103.7913503,PASIR PANJANG ROAD,PASIR PANJANG MRT STATION (CC26),119 PASIR PANJANG ROAD PASIR PANJANG MRT STATION SINGAPORE 117424,117424
Labrador Park MRT Station,1.272368386,103.8034162,TELOK BLANGAH ROAD,LABRADOR PARK MRT STATION,701 TELOK BLANGAH ROAD LABRADOR PARK MRT STATION SINGAPORE 109029,109029
Telok Blangah MRT Station,1.270706477,103.8097616,TELOK BLANGAH ROAD,TELOK BLANGAH MRT STATION (CC28),463 TELOK BLANGAH ROAD TELOK BLANGAH MRT STATION SINGAPORE 109028,109028
Bayfront MRT Station,1.281873789,103.8590798,BAYFRONT AVENUE,BAYFRONT MRT STATION (DT16 / CE1),11 BAYFRONT AVENUE BAYFRONT MRT STATION SINGAPORE 018957,18957
Bukit Panjang MRT Station,1.379561212,103.7611889,UPPER BUKIT TIMAH ROAD,BUKIT PANJANG MRT STATION,950 UPPER BUKIT TIMAH ROAD BUKIT PANJANG MRT STATION SINGAPORE 678213,678213
Cashew MRT Station,1.369846014,103.7643151,CASHEW ROAD,CASHEW MRT STATION,1 CASHEW ROAD CASHEW MRT STATION SINGAPORE 679696,679696
Hillview MRT Station,1.362888457,103.7677809,UPPER BUKIT TIMAH ROAD,HILLVIEW MRT STATION,510 UPPER BUKIT TIMAH ROAD HILLVIEW MRT STATION SINGAPORE 678211,678211
Beauty World MRT Station,1.34090149,103.7757467,UPPER BUKIT TIMAH ROAD,BEAUTY WORLD MRT STATION,101 UPPER BUKIT TIMAH ROAD BEAUTY WORLD MRT STATION SINGAPORE 588216,588216
King Albert Park MRT Station,1.335893496,103.7832359,BLACKMORE DRIVE,KING ALBERT PARK MRT STATION,2 BLACKMORE DRIVE KING ALBERT PARK MRT STATION SINGAPORE 599987,599987
Sixth Avenue MRT Station,1.330857645,103.7969068,BUKIT TIMAH ROAD,SIXTH AVENUE MRT STATION (DT7),777 BUKIT TIMAH ROAD SIXTH AVENUE MRT STATION SINGAPORE 269784,269784
