Meridian LRT Station,1.39691205,103.9089502,PUNGGOL FIELD,MERIDIAN LRT STATION (PE2),60 PUNGGOL FIELD MERIDIAN LRT STATION SINGAPORE 828857,828857
Coral Edge LRT Station,1.393909229,103.9125808,PUNGGOL FIELD,CORAL EDGE LRT STATION (PE3),70 PUNGGOL FIELD CORAL EDGE LRT STATION SINGAPORE 828856,828856
Riviera LRT Station,1.394519785,103.9161694,PUNGGOL EAST,RIVIERA LRT STATION (PE4),40 PUNGGOL EAST RIVIERA LRT STATION SINGAPORE 828852,828852
Kadaloor LRT Station,1.399509106,103.916575,PUNGGOL DRIVE,KADALOOR LRT STATION (PE5),60 PUNGGOL DRIVE KADALOOR LRT STATION SINGAPORE 828853,828853
Oasis LRT Station,1.40228668,103.9127274,PUNGGOL DRIVE,OASIS LRT STATION (PE6),50 PUNGGOL DRIVE OASIS LRT STATION SINGAPORE 828854,828854
Damai LRT Station,1.405234836,103.9086035,PUNGGOL DRIVE,DAMAI LRT STATION (PE7),40 PUNGGOL DRIVE DAMAI LRT STATION SINGAPORE 828855,828855
Sam Kee LRT Station,1.409612685,103.9048316,SENTUL CRESCENT,SAM KEE LRT STATION (PW1),10 SENTUL CRESCENT SAM KEE LRT STATION SINGAPORE 828851,828851
Teck Lee LRT Station,1.412770894,103.9065776,PONGGOL SEVENTEENTH AVENUE,TECK LEE LRT STATION (PW2),101 PONGGOL SEVENTEENTH AVENUE TECK LEE LRT STATION SINGAPORE 828861,828861
Punggol Point LRT Station,1.41684852,103.9066508,PUNGGOL WAY,PUNGGOL POINT LRT STATION (PW3),81 PUNGGOL WAY PUNGGOL POINT LRT STATION SINGAPORE 828644,828644
Samudera LRT Station,1.415901722,103.9021563,PUNGGOL WAY,SAMUDERA LRT STATION (PW4),61 PUNGGOL WAY SAMUDERA LRT STATION SINGAPORE 828645,828645
Nibong LRT Station,1.411870457,103.9003138,PUNGGOL WAY,NIBONG LRT STATION (PW5),41 PUNGGOL WAY NIBONG LRT STATION SINGAPORE 828862,828862
Sumang LRT Station,1.408452419,103.8985585,PUNGGOL WAY,SUMANG LRT STATION (PW6),31 PUNGGOL WAY SUMANG LRT STATION SINGAPORE 828863,828863
Soo Teck LRT Station,1.405323319,103.8972905,PUNGGOL WAY,SOO TECK LRT STATION (PW7),21 PUNGGOL WAY SOO TECK LRT STATION SINGAPORE 828864,828864
